category,semantic_field_key,source_id,source_field,fact_date_field,evidence_strategy,definition_status
ownership,ownership.mortgageco,itspe_current,MORTGAGECO,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.oldland,itspe_current,OLDLAND,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.oldimpr,itspe_current,OLDIMPR,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.oldtotal,itspe_current,OLDTOTAL,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.phaseland,itspe_current,PHASELAND,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.phasebuild,itspe_current,PHASEBUILD,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.assessment,itspe_current,ASSESSMENT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.newland,itspe_current,NEWLAND,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.newimpr,itspe_current,NEWIMPR,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.newtotal,itspe_current,NEWTOTAL,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.capcurr,itspe_current,CAPCURR,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
assessment,assessment.capprop,itspe_current,CAPPROP,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.annualtax,itspe_current,ANNUALTAX,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.duedate1,itspe_current,DUEDATE1,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.amtdue1,itspe_current,AMTDUE1,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.duedate2,itspe_current,DUEDATE2,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.amtdue2,itspe_current,AMTDUE2,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.totdueamt,itspe_current,TOTDUEAMT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.totcolamt,itspe_current,TOTCOLAMT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.totbalamt,itspe_current,TOTBALAMT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
tax,tax.lastpaydt,itspe_current,LASTPAYDT,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.saleprice,itspe_current,SALEPRICE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.saledate,itspe_current,SALEDATE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.acceptcode,itspe_current,ACCEPTCODE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.saletype,itspe_current,SALETYPE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.deeddate,itspe_current,DEEDDATE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
sale_and_deed,sale_and_deed.inst_no,itspe_current,INST_NO,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.bidname,itspe_current,BIDNAME,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.bidtotaldue,itspe_current,BIDTOTALDUE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.bidcollected,itspe_current,BIDCOLLECTED,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.bidbalance,itspe_current,BIDBALANCE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.sewstotaldue,itspe_current,SEWSTOTALDUE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.sewscollected,itspe_current,SEWSCOLLECTED,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.sewsbalance,itspe_current,SEWSBALANCE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.pacetotaldue,itspe_current,PACETOTALDUE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.pacecollected,itspe_current,PACECOLLECTED,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.pacebalance,itspe_current,PACEBALANCE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.swwsadtotaldue,itspe_current,SWWSADTOTALDUE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.swwsadcollected,itspe_current,SWWSADCOLLECTED,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
special_assessment,special_assessment.swwsadbalance,itspe_current,SWWSADBALANCE,EXTRACTDAT,human_portal_with_exact_lookup_inputs,source_label_only
